"","age","bounce_time","county","location","chosen"
"1",16,165.5485196,"devon","a",0
"2",34,167.5593135,"devon","a",1
"3",6,165.8829517,"devon","a",0
"4",19,167.6855249,"devon","a",0
"5",34,169.9596807,"devon","a",1
"6",47,168.6887472,"devon","a",1
"7",7,169.6193817,"devon","a",0
"8",8,164.4162728,"devon","a",0
"9",8,167.5104297,"devon","a",0
"10",7,179.606068,"devon","a",0
"11",40,174.4654852,"devon","a",0
"12",38,164.7812478,"devon","a",0
"13",23,172.5594668,"devon","a",1
"14",7,179.0007743,"devon","a",0
"15",18,175.9704091,"devon","a",0
"16",16,170.8193187,"devon","a",1
"17",20,170.0534398,"devon","a",0
"18",20,171.0932718,"devon","a",1
"19",27,166.9571182,"devon","a",0
"20",18,169.7708317,"devon","a",0
"21",46,177.1744436,"devon","b",0
"22",20,170.6868505,"devon","b",0
"23",18,176.7402672,"devon","b",0
"24",20,182.921515,"devon","b",1
"25",25,182.3539525,"devon","b",0
"26",12,183.0819313,"devon","b",0
"27",30,182.1753313,"devon","b",0
"28",4,175.5122137,"devon","b",0
"29",27,173.5323951,"devon","b",0
"30",5,174.2216996,"devon","b",0
"31",16,174.8399351,"devon","b",0
"32",24,180.0634457,"devon","b",1
"33",5,190.6409588,"devon","b",0
"34",7,169.7087779,"devon","b",0
"35",23,179.5743569,"devon","b",0
"36",7,188.8472039,"devon","b",0
"37",37,173.2164322,"devon","b",0
"38",45,179.4239913,"devon","b",1
"39",16,182.8767077,"devon","b",1
"40",17,177.82055,"devon","b",0
"41",11,191.9322152,"devon","c",0
"42",20,185.6634414,"devon","c",0
"43",36,188.224188,"devon","c",1
"44",24,191.0762972,"devon","c",1
"45",41,193.0720144,"devon","c",0
"46",31,195.98165,"devon","c",0
"47",24,185.5081277,"devon","c",0
"48",24,191.7647472,"devon","c",0
"49",24,184.0877927,"devon","c",0
"50",30,193.0299285,"devon","c",0
"51",14,193.2441459,"devon","c",0
"52",28,187.5596646,"devon","c",0
"53",60,192.8173674,"devon","c",1
"54",19,192.8957911,"devon","c",0
"55",38,189.0644148,"devon","c",0
"56",27,190.6611123,"devon","c",0
"57",52,197.7971633,"devon","c",0
"58",21,186.3583927,"devon","c",1
"59",32,196.1694599,"devon","c",0
"60",42,188.3476105,"devon","c",1
"61",29,200.4518306,"cumbria","a",0
"62",34,202.6518694,"cumbria","a",1
"63",82,204.0826204,"cumbria","a",0
"64",59,205.1904028,"cumbria","a",1
"65",23,201.4306689,"cumbria","a",0
"66",51,199.2138714,"cumbria","a",0
"67",43,203.2291598,"cumbria","a",0
"68",28,197.3707903,"cumbria","a",1
"69",45,197.7966825,"cumbria","a",0
"70",46,199.6620064,"cumbria","a",1
"71",30,208.7708277,"cumbria","a",0
"72",52,199.6470087,"cumbria","a",0
"73",53,198.6395736,"cumbria","a",1
"74",36,193.3904581,"cumbria","a",0
"75",48,196.7885373,"cumbria","a",0
"76",44,195.7997268,"cumbria","a",0
"77",56,205.007335,"cumbria","a",0
"78",24,204.5745191,"cumbria","a",0
"79",30,197.821003,"cumbria","a",1
"80",35,202.9267917,"cumbria","a",0
"81",51,209.769199,"cumbria","b",1
"82",37,212.3001688,"cumbria","b",0
"83",46,206.8002264,"cumbria","b",0
"84",15,206.0291334,"cumbria","b",0
"85",55,216.4534082,"cumbria","b",1
"86",15,214.375613,"cumbria","b",0
"87",34,206.7412391,"cumbria","b",0
"88",32,201.7569338,"cumbria","b",0
"89",52,212.9415295,"cumbria","b",1
"90",39,209.9258209,"cumbria","b",0
"91",54,210.8249888,"cumbria","b",1
"92",29,213.8767095,"cumbria","b",0
"93",47,218.6140446,"cumbria","b",1
"94",48,210.8980754,"cumbria","b",0
"95",33,208.8068918,"cumbria","b",0
"96",34,213.5269776,"cumbria","b",0
"97",50,214.3452445,"cumbria","b",0
"98",51,212.429093,"cumbria","b",1
"99",41,214.0022867,"cumbria","b",0
"100",44,209.3735113,"cumbria","b",0
"101",61,217.0455452,"cumbria","c",1
"102",44,216.9197318,"cumbria","c",1
"103",30,215.0328021,"cumbria","c",0
"104",58,218.4580886,"cumbria","c",0
"105",58,221.1151929,"cumbria","c",0
"106",59,207.1896096,"cumbria","c",1
"107",16,225.4513367,"cumbria","c",0
"108",46,227.24234,"cumbria","c",1
"109",44,216.0924307,"cumbria","c",0
"110",42,227.2506149,"cumbria","c",0
"111",63,217.0385986,"cumbria","c",1
"112",38,220.5751091,"cumbria","c",0
"113",47,213.1708851,"cumbria","c",0
"114",26,229.8520674,"cumbria","c",0
"115",6,224.7217526,"cumbria","c",0
"116",30,229.9113525,"cumbria","c",1
"117",21,219.4764395,"cumbria","c",0
"118",47,221.150666,"cumbria","c",1
"119",35,211.9773527,"cumbria","c",0
"120",44,223.3711855,"cumbria","c",1
"121",28,200.5537862,"norfolk","a",0
"122",58,200.9446128,"norfolk","a",0
"123",39,208.5197375,"norfolk","a",0
"124",44,194.0454965,"norfolk","a",0
"125",43,202.8488506,"norfolk","a",1
"126",49,202.0203024,"norfolk","a",0
"127",38,199.3371222,"norfolk","a",0
"128",45,205.1835979,"norfolk","a",0
"129",26,205.9698587,"norfolk","a",1
"130",52,203.5147168,"norfolk","a",0
"131",29,204.7389919,"norfolk","a",0
"132",29,195.5731781,"norfolk","a",1
"133",24,199.0944746,"norfolk","a",0
"134",20,196.3430907,"norfolk","a",0
"135",47,201.3040275,"norfolk","a",1
"136",25,205.9356944,"norfolk","a",0
"137",56,195.3113561,"norfolk","a",1
"138",29,192.4014869,"norfolk","a",0
"139",4,189.6056855,"norfolk","a",1
"140",23,208.5542802,"norfolk","a",0
"141",61,209.8167773,"norfolk","b",1
"142",62,209.2845643,"norfolk","b",1
"143",21,209.815756,"norfolk","b",0
"144",47,209.0275725,"norfolk","b",1
"145",73,210.6181288,"norfolk","b",1
"146",60,216.5011188,"norfolk","b",0
"147",25,216.2859087,"norfolk","b",0
"148",84,216.5827531,"norfolk","b",1
"149",35,217.7575204,"norfolk","b",0
"150",44,211.8756156,"norfolk","b",1
"151",15,211.1851959,"norfolk","b",0
"152",31,200.3431534,"norfolk","b",1
"153",31,215.9294813,"norfolk","b",0
"154",25,206.6773416,"norfolk","b",0
"155",38,212.0453334,"norfolk","b",0
"156",41,216.4527049,"norfolk","b",1
"157",52,211.4987178,"norfolk","b",0
"158",41,221.358007,"norfolk","b",1
"159",40,211.7023111,"norfolk","b",0
"160",43,213.1243748,"norfolk","b",0
"161",45,216.7445608,"norfolk","c",0
"162",37,215.076173,"norfolk","c",1
"163",46,220.7127613,"norfolk","c",1
"164",53,220.9798451,"norfolk","c",1
"165",45,221.9942923,"norfolk","c",1
"166",42,218.9648973,"norfolk","c",1
"167",29,223.3676851,"norfolk","c",0
"168",26,219.1208868,"norfolk","c",0
"169",26,217.1293049,"norfolk","c",0
"170",20,217.9883381,"norfolk","c",1
"171",43,225.1104251,"norfolk","c",0
"172",57,218.4277133,"norfolk","c",0
"173",45,223.2930573,"norfolk","c",1
"174",58,221.7403879,"norfolk","c",1
"175",47,227.813772,"norfolk","c",0
"176",15,220.7496859,"norfolk","c",0
"177",35,213.8928711,"norfolk","c",1
"178",17,222.5052114,"norfolk","c",0
"179",62,217.3126191,"norfolk","c",0
"180",63,224.4747732,"norfolk","c",1
"181",60,216.3377005,"kent","a",1
"182",90,209.131404,"kent","a",1
"183",40,209.9054477,"kent","a",0
"184",54,207.4095317,"kent","a",0
"185",32,203.0326104,"kent","a",0
"186",47,217.1245855,"kent","a",0
"187",67,201.3487591,"kent","a",0
"188",67,201.7597024,"kent","a",1
"189",69,216.1824114,"kent","a",1
"190",62,204.9445967,"kent","a",1
"191",40,216.4814757,"kent","a",0
"192",38,212.5573173,"kent","a",0
"193",32,214.1797766,"kent","a",0
"194",39,215.6827243,"kent","a",0
"195",42,198.2832266,"kent","a",1
"196",51,207.8103437,"kent","a",1
"197",37,215.3628676,"kent","a",0
"198",35,206.6435205,"kent","a",1
"199",64,210.0694165,"kent","a",1
"200",43,213.1133748,"kent","a",0
"201",51,212.0792079,"kent","b",0
"202",53,215.5315906,"kent","b",0
"203",81,220.1562685,"kent","b",1
"204",59,206.2180513,"kent","b",0
"205",67,212.2298946,"kent","b",1
"206",41,208.0642112,"kent","b",0
"207",51,207.3500373,"kent","b",0
"208",52,213.011877,"kent","b",0
"209",59,213.559816,"kent","b",0
"210",77,215.2943604,"kent","b",1
"211",52,210.9402553,"kent","b",1
"212",60,215.9652086,"kent","b",1
"213",76,204.9527426,"kent","b",0
"214",73,213.5820623,"kent","b",1
"215",71,214.7521981,"kent","b",1
"216",49,209.5279787,"kent","b",0
"217",50,205.9587665,"kent","b",1
"218",81,201.3215734,"kent","b",1
"219",59,214.4584547,"kent","b",1
"220",58,203.7714782,"kent","b",0
"221",73,210.9189945,"kent","c",0
"222",58,208.2950642,"kent","c",1
"223",56,208.4432241,"kent","c",1
"224",78,210.7099817,"kent","c",1
"225",72,215.3302228,"kent","c",0
"226",77,203.3975435,"kent","c",1
"227",66,213.7782631,"kent","c",1
"228",100,200.1821687,"kent","c",1
"229",77,208.7098561,"kent","c",0
"230",57,211.3342879,"kent","c",0
"231",79,212.9441394,"kent","c",1
"232",59,196.7165149,"kent","c",1
"233",75,203.9223975,"kent","c",1
"234",66,196.2828091,"kent","c",0
"235",58,206.2261176,"kent","c",0
"236",55,207.7157235,"kent","c",1
"237",75,204.5781914,"kent","c",1
"238",63,199.6817128,"kent","c",1
"239",40,206.8766707,"kent","c",1
"240",90,214.4067381,"kent","c",1
"241",70,205.3738454,"dorset","a",0
"242",68,206.759194,"dorset","a",1
"243",95,204.6719573,"dorset","a",1
"244",60,194.4018364,"dorset","a",1
"245",54,191.9884128,"dorset","a",0
"246",67,193.7814212,"dorset","a",1
"247",33,198.1494526,"dorset","a",0
"248",72,203.8420388,"dorset","a",1
"249",65,200.1460101,"dorset","a",0
"250",75,201.9407357,"dorset","a",1
"251",78,195.1705195,"dorset","a",1
"252",56,205.593968,"dorset","a",1
"253",66,198.5213738,"dorset","a",0
"254",87,209.0728968,"dorset","a",1
"255",75,191.5980825,"dorset","a",0
"256",82,199.0071224,"dorset","a",1
"257",62,200.615296,"dorset","a",0
"258",84,194.1533128,"dorset","a",1
"259",46,202.7619162,"dorset","a",0
"260",47,201.9771132,"dorset","a",0
"261",79,208.9110526,"dorset","b",1
"262",89,192.7707273,"dorset","b",1
"263",84,200.7337844,"dorset","b",0
"264",93,202.0110594,"dorset","b",1
"265",55,202.015438,"dorset","b",1
"266",60,204.6495169,"dorset","b",1
"267",52,205.557111,"dorset","b",1
"268",64,192.3148453,"dorset","b",1
"269",100,198.8746157,"dorset","b",1
"270",61,191.6780829,"dorset","b",1
